PhysicalDataID,Date,Station Code,150_ZoopStartMeter,150_ZoopEndMeter,50_ZoopStartMeter,50_ZoopEndMeter,FlowMeterSpeed,FieldComments
1228,7/7/2016,BL5,41000,43275,,,Regular,SFSU ZOOP150 43400-46359
1229,7/7/2016,LIB,51000,55978,,,Regular,MOTOR
1230,7/7/2016,RYI,56000,56958,,,Regular,ANCHOR
1231,7/7/2016,SRV,57000,62896,,,Regular,
1232,7/7/2016,RVB,63000,63087,,,Regular,"FLOOD, MOTOR USED"
1239,7/8/2016,RCS,971721,973000,,,Low,
1240,7/8/2016,RD22,970531,971700,,,Low,
1241,7/8/2016,I80,969302,970500,,,Low,
1242,7/8/2016,LIS,968002,969300,,,Low,
1262,7/18/2016,SHR,63000,63817,969000,969862,Regular,
1263,7/19/2016,LIS,967251,967995,,,Regular,Live Sample zoop 150: set 5 min; start time 10:06 end 10:11; start meter 3855 end meter 4925
1264,7/19/2016,STTD,970000,971737,970000,970106,Regular,SFSU zoop 150- start 11:03 end 11:08; start meter 971000 end meter 972891
1265,7/19/2016,BL5,973000,974441,,,Regular,SFSU zoop 150-start 11:55 end 12:00; meter start 974400 end 976047
1266,7/19/2016,LIB,976000,978028,,,Regular,
1267,7/19/2016,RYI,979000,981953,,,Regular,
1268,7/19/2016,SRV,980000,985586,,,Regular,
1269,7/19/2016,RVB,985100,989343,,,Regular,
1270,7/20/2016,RCS,965815,966500,,,Low,
1271,7/20/2016,RD22,965186,965790,,,Low,kayak tow
1272,7/20/2016,I80,963869,965140,,,Low,offshore
1273,8/15/2016,SHR,12000,16598,0,1128,Regular,
1274,8/1/2016,SHR,989000,993362,0,802,Regular,
1275,8/2/2016,LIS,961317,962680,,,Low,
1276,8/2/2016,LIB,0,2180,,,Regular,dropped about 20 mL of sample on ground
1277,8/2/2016,RYI,0,2360,,,Regular,
1278,8/2/2016,SRV,2000,7517,,,Regular,
1279,8/2/2016,RVB,8000,11607,,,Regular,
1280,8/3/2016,RD22,960476,961200,,,Low,kayak tow
1281,8/3/2016,I80,959744,969500,,,Low,kayak tow
1283,8/17/2016,RD22,956772,957830,,,Low,
1284,8/17/2016,I80,955467,956700,,,Low,
1285,8/16/2016,LIB,9323,10700,,,Low,
1286,8/16/2016,RYI,7874,9300,,,Low,
1287,8/16/2016,SRV,4144,7800,,,Low,
1288,8/16/2016,RVB,2394,4200,,,Low,
1289,8/2/2016,STTD,993000,995196,0,396,Regular,
1290,8/2/2016,BL5,997000,998648,,,Regular,
1292,8/16/2016,LIS,957865,959000,,,Low,
1293,8/16/2016,STTD,15128,17000,0,386,Low,"low speed for 150, regular for the 50"
1294,8/16/2016,BL5,12277,13000,,,Low,
1295,8/30/2016,LIS,952656,954000,,,Low,
1296,8/30/2016,STTD,993068,994000,999799,0,Low,spilled a little of the 150
1297,8/30/2016,BL5,990451,992000,,,Low,
1298,8/30/2016,LIB,988608,990000,,,Low,
1299,8/30/2016,RYI,987595,989000,,,Low,
1300,8/30/2016,SRV,984451,987000,,,Low,flood tide
1301,8/30/2016,RVB,982031,984000,,,Low,
1303,8/31/2016,RD22,952518,953000,,,Low,kayak tow
1305,8/31/2016,I80,951481,952000,,,Low,kayak tow
1306,8/29/2016,SHR,0,4599,0,564,Low,EBB TIDE-MOTOR USED
1307,8/31/2016,DWT,,,,,,
1310,9/20/2016,STTD,960000,960879,998547,999000,Low,
1311,9/19/2016,SHR,961578,964000,999596,0,Low,
1313,8/19/2015,RCS,587888,589000,,,Low,
1314,8/19/2015,RD22,586571,588000,,,Low,
1315,8/19/2015,I80,585656,587000,,,Low,
1316,8/18/2015,BL5,605636,609000,,,Low,
1317,8/18/2015,LIB,598531,602000,,,Low,"JET BOAT MOTOR USED, NO ANCHOR"
1318,8/18/2015,RYI,593975,595000,,,Low,
1319,8/18/2015,SRV,591010,594000,,,Low,
1320,8/18/2015,RVB,589189,590000,,,Low,
1321,8/18/2015,LIS,996253,998100,,,Low,
1322,8/3/2015,RVB,622934,624000,,,Low,
1323,8/3/2015,SRV,624517,626000,,,Low,
1324,8/3/2015,RYI,625578,627000,,,Low,
1325,8/3/2015,LIB,626655,629000,,,Low,"NO ANCHOR, TOO DEEP. MOTOR USED."
1326,8/3/2015,BL5,629560,632000,,,Low,
1327,9/16/2015,RD22,993306,994806,,,Low,
1328,9/16/2015,I80,990413,993260,,,Low,
1329,9/16/2015,RCS,994871,996000,,,Low,
1330,9/15/2015,LIS,767941,770111,,,Low,
1331,10/4/2016,LIS,,,,,Low,
1332,10/4/2016,STTD,959962,961000,998795,999000,Low,
1333,10/5/2016,SHR,957904,960000,998458,999000,Low,off the boat
1335,9/13/2016,RYI,967664,970000,,,Low,
1336,9/13/2016,RVB,963795,966000,,,Low,
1337,9/13/2016,SRV,965979,968000,,,Low,
1338,9/13/2016,LIB,969820,972000,,,Low,
1339,9/13/2016,BL5,974314,976000,,,Low,
1340,9/13/2016,STTD,977178,978000,998797,999000,Low,SFSU 150 ZOOP; 10:16-10:19 Start: 976292/End: 977000
1341,10/19/2016,SHR,953443,956000,998288,999000,Low,MOTOR BOAT USED
1342,10/18/2016,STTD,956713,958000,998718,999000,Low,
1344,9/14/2016,RD22,950468,951000,,,Low,KAYAK TOW
1345,9/14/2016,LIS,948360,949000,,,Low,KAYAK TOW
1346,9/14/2016,I80,949256,950000,,,Low,KAYAK TOW
1348,9/12/2016,SHR,978395,982000,999239,0,Low,
1349,11/29/2016,SHR,941483,944000,993629,994000,Low,
1350,11/28/2016,STTD,943697,944000,993869,994000,Low,redid 150 since didn't spin well. High algae so shorter time set.
1353,11/18/2016,SHR,944005,947000,994022,995000,Low,flooding
1355,11/14/2016,STTD,947541,949000,995751,996000,Low,
1356,11/1/2016,SHR,949395,952000,996449,997000,Low,
1357,10/31/2016,STTD,951720,953000,997613,998000,Low,
1359,12/13/2016,STTD,940573,942000,992857,993000,Low,
1361,12/14/2016,SHR,938900,940000,992850,993000,Low,
1363,12/21/2016,SHR,0,4482,993000,993770,Regular,New flow meter for 150um net
1365,12/21/2016,STTD,4000,11408,994000,995180,Regular,
1367,12/27/2016,STTD,10000,18667,995000,996127,Regular,High flow - sampled from the screw trap
1368,12/29/2016,SHR,19000,22210,996000,996451,Regular,
1369,1/10/2017,SHR,22000,23774,,,Regular,
1371,1/11/2017,STTD,24000,24729,,,Regular,
1373,1/18/2017,STTD,40000,47822,,,Regular,
1374,1/23/2017,SHR,48000,50957,,,Regular,
1376,1/24/2017,STTD,50000,58855,,,Regular,
1377,2/2/2017,STTD,947000,952718,,,Regular,
1378,2/6/2017,STTD,952000,960048,,,Regular,
1380,2/7/2017,SHR,960000,,,,Regular,NO END METER ON DATASHEET
1381,2/16/2017,STTD,960000,967442,,,Regular,high flow
1382,2/22/2017,STTD,968000,974961,,,Regular,
1384,2/23/2017,SHR,975000,978990,,,Regular,
1385,3/8/2017,SHR,995000,998177,,,Regular,
1386,3/9/2017,STTD,0,10404,,,Regular,Didn’t set 50
1390,3/14/2017,STTD,10000,19865,,,Regular,
1392,3/22/2017,STTD,22000,25349,,,Regular,
1393,3/21/2017,SHR,19940,22818,996599,997115,Regular,
1395,4/5/2017,STTD,35000,42674,,,Regular,
1396,4/4/2017,SHR,33000,35260,997000,997632,Regular,Lots of sediment clogged up the net
1397,3/28/2017,STTD,25000,33075,,,Regular,
1398,5/5/2017,STTD,60000,68161,,,Regular,
1400,5/4/2017,SHR,131000,133556,998000,998596,Regular,
1401,4/26/2017,STTD,128000,131141,,,Regular,
1402,4/19/2017,SHR,58888,61460,997625,998277,Regular,
1404,4/18/2017,STTD,49000,58810,,,Regular,
1405,4/13/2017,STTD,42000,48597,,,Regular,
1407,6/13/2017,SHR,81870,83000,732,900,Low,Flow meter rotation numbers reversed on datasheet. Corrected in database.
1408,6/12/2017,STTD,82000,83463,0,848,Regular,
1410,5/31/2017,SHR,82000,82298,0,235,Regular,
1412,5/30/2017,STTD,79000,81410,0,312,Regular,
1414,5/16/2017,STTD,74000,75351,0,98,Regular,150 might clogged(?) early on
1415,5/17/2017,SHR,75410,79237,158,718,Regular,
1416,5/9/2017,STTD,70000,74077,0,564,Regular,
1419,6/27/2017,SHR,81461,81848,,,Low,Really low flow / too low flow for 50 zoop net
1421,7/18/2017,SHR,45368,46000,595,788,Low,Very low flow
1422,8/1/2017,SHR,27872,30000,59,400,Low,
1423,8/29/2017,SHR,986260,988500,997160,997500,Low,
1424,8/15/2017,SHR,8032,11000,997820,999000,Low,*** 2 lab results returned for this sample from separate shipments: 3/9 and 7/12 (?) ***
1428,1/17/2017,YTR4,34930,39220,,,Regular,
1429,1/17/2017,YTR3,32822,34908,,,Regular,
1430,1/17/2017,YTR2,28820,32828,,,Regular,
1431,1/17/2017,YTR1,24800,28709,,,Regular,
1432,1/25/2017,YTR3,69547,75447,,,Regular,
1433,1/25/2017,YTR2,63590,69539,,,Regular,
1434,1/25/2017,YTR1,58868,63590,,,Regular,
1435,1/25/2017,YTR4,75454,81148,,,Regular,
1437,1/31/2017,YTR4,82118,83878,,,Regular,
1438,1/31/2017,YTR3,81313,82107,,,Regular,TORN NET
1439,1/31/2017,YTR2,81148,81314,,,Regular,
1440,2/10/2017,YTR4,94098,98166,,,Regular,
1441,2/10/2017,YTR3,90633,94052,,,Regular,
1442,2/10/2017,YTR2,87072,90642,,,Regular,
1443,2/10/2017,YTR1,83883,87066,,,Regular,"REDUCED NET SET, HIGH DEBRIS"
1444,2/15/2017,YTR4,107851,110602,,,Regular,
1445,2/15/2017,YTR3,104780,107853,,,Regular,
1446,2/15/2017,YTR2,101112,104785,,,Regular,
1447,2/15/2017,YTR1,98172,101118,,,Regular,
